,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
836,Kosta Perovic,0,0,2006,38,GSW,0,1,7,38,10,13,1,0.3,0.0,0.667,5.4,1.4,1.9,0.1,0.0,0.06,-6.7,0.0,0
837,Marco Belinelli,0,0,2007,18,GSW,0,9,570,13125,5429,1143,933,0.424,0.379,0.821,23.0,9.5,2.0,1.6,20.2,0.07400000000000001,-1.6,1.2,0
838,Jermareo Davidson,0,0,2007,36,GSW,University of Alabama,2,52,433,162,96,14,0.425,0.0,0.578,8.3,3.1,1.8,0.3,0.0,0.0,-7.6,-0.6,1
839,Stephane Lasme,0,0,2007,46,GSW,University of Massachusetts Amherst,1,16,303,83,53,3,0.451,0.0,0.594,18.9,5.2,3.3,0.2,0.3,0.040999999999999995,-2.8,-0.1,1
840,Anthony Randolph,0,0,2008,14,GSW,Louisiana State University,6,252,3841,1789,1078,187,0.45299999999999996,0.24100000000000002,0.74,15.2,7.1,4.3,0.7,5.8,0.07200000000000001,-2.1,-0.1,1
841,Richard Hendrix,0,0,2008,49,GSW,University of Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
842,Joe Johnson,1,7,2001,10,BOS,University of Arkansas,15,1143,41186,19318,4644,4774,0.442,0.37200000000000005,0.8009999999999999,36.0,16.9,4.1,4.2,78.1,0.091,0.5,26.2,1
843,Kedrick Brown,0,0,2001,11,BOS,Okaloosa-Walton Community College,4,143,1935,509,347,103,0.405,0.27399999999999997,0.64,13.5,3.6,2.4,0.7,3.0,0.07400000000000001,-2.2,-0.1,1
844,Joseph Forte,0,0,2001,21,BOS,University of North Carolina,2,25,125,30,17,17,0.23399999999999999,0.0,0.8,5.0,1.2,0.7,0.7,-0.4,-0.166,-10.1,-0.3,1
845,Darius Songaila,0,0,2002,49,BOS,Wake Forest University,8,495,9229,3415,1689,589,0.499,0.158,0.8440000000000001,18.6,6.9,3.4,1.2,15.9,0.083,-1.7,0.7,1
846,Mike Conley,0,0,2007,4,MEM,Ohio State University,9,637,20693,8635,1820,3578,0.44,0.373,0.8059999999999999,32.5,13.6,2.9,5.6,52.8,0.12300000000000001,1.5,18.0,1
847,Kevin Love,2,3,2008,5,MEM,"University of California, Los Angeles",8,516,16889,9451,5946,1252,0.444,0.363,0.815,32.7,18.3,11.5,2.4,64.2,0.182,3.2,22.1,1
848,Donte Greene,0,0,2008,28,MEM,Syracuse University,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-3.8,-2.0,1
849,Hasheem Thabeet,0,0,2009,2,MEM,University of Connecticut,5,224,2357,483,595,27,0.5670000000000001,0.0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,1
850,DeMarre Carroll,0,0,2009,27,MEM,University of Missouri,7,342,7620,2698,1296,395,0.45299999999999996,0.369,0.721,22.3,7.9,3.8,1.2,18.2,0.115,1.3,6.3,1
851,Sam Young,0,0,2009,36,MEM,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9,1
852,Xavier Henry,0,0,2010,12,MEM,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013000000000000001,-5.1,-2.3,1
853,Dominique Jones,0,0,2010,25,MEM,University of South Florida,3,80,741,246,114,144,0.366,0.095,0.7290000000000001,9.3,3.1,1.4,1.8,0.3,0.017,-3.6,-0.3,1
854,Greivis Vasquez,0,0,2010,28,MEM,University of Maryland,6,398,9481,3584,1019,1930,0.418,0.349,0.8170000000000001,23.8,9.0,2.6,4.8,12.6,0.064,-1.5,1.2,1
855,Josh Selby,0,0,2011,49,MEM,University of Kansas,2,38,296,83,20,34,0.33,0.14300000000000002,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-10.1,-0.6,1
856,Tony Wroten,0,0,2012,25,MEM,University of Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-4.1,-1.6,1
857,Jordan Adams,0,0,2014,22,MEM,"University of California, Los Angeles",2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1,1
858,Jarell Martin,0,0,2015,25,MEM,Louisiana State University,1,27,380,153,86,15,0.466,0.0,0.726,14.1,5.7,3.2,0.6,0.8,0.1,-3.2,-0.1,1
859,Raef LaFrentz,0,0,1998,3,DEN,University of Kansas,10,563,14545,5690,3423,606,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,0.13,1.5,12.8,1
860,Tyronn Lue,0,0,1998,23,DEN,University of Nebraska,11,554,12564,4710,943,1727,0.43700000000000006,0.391,0.8290000000000001,22.7,8.5,1.7,3.1,19.7,0.075,-2.8,-2.5,1
861,Tremaine Fowlkes,0,0,1998,54,DEN,"California State University, Fresno",4,103,1233,301,228,54,0.409,0.2,0.7909999999999999,12.0,2.9,2.2,0.5,2.1,0.08,-2.1,0.0,1
862,Ryan Bowen,0,0,1998,55,DEN,University of Iowa,10,507,6502,1319,1060,250,0.456,0.20600000000000002,0.693,12.8,2.6,2.1,0.5,12.4,0.092,0.0,3.3,1
863,James Posey,0,0,1999,18,DEN,Xavier University,12,864,23260,7419,4061,1413,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107,1.2,18.8,1
864,Chris Herren,0,0,1999,33,DEN,"California State University, Fresno",2,70,1005,224,73,167,0.336,0.32799999999999996,0.6920000000000001,14.4,3.2,1.0,2.4,0.5,0.025,-5.6,-0.9,1
865,Francisco Elson,0,0,1999,41,DEN,University of California,9,472,7207,1726,1638,260,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-1.6,0.8,1
866,Mamadou N'Diaye,0,0,2000,26,DEN,Auburn University,5,69,858,262,225,8,0.42700000000000005,0.0,0.736,12.4,3.8,3.3,0.1,1.8,0.10099999999999999,-5.3,-0.7,1
867,Dan McClintock,0,0,2000,53,DEN,Northern Arizona University,1,6,58,18,17,1,0.5,0.0,0.0,9.7,3.0,2.8,0.2,0.0,0.006999999999999999,-6.6,-0.1,1
868,Ousmane Cisse,0,0,2001,46,DEN,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
869,Troy Bell,0,0,2003,16,BOS,Boston College,1,6,34,11,4,4,0.222,0.0,1.0,5.7,1.8,0.7,0.7,-0.2,-0.326,-14.4,-0.1,1
870,Dahntay Jones,0,0,2003,20,BOS,Duke University,12,623,9787,3344,1080,528,0.439,0.331,0.7509999999999999,15.7,5.4,1.7,0.8,9.9,0.048,-3.6,-4.1,1
871,Brandon Hunter,0,0,2003,56,BOS,Ohio University,2,67,630,220,187,22,0.47600000000000003,0.0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-5.4,-0.5,1
872,Al Jefferson,0,0,2004,15,BOS,0,12,813,24884,13556,7269,1260,0.498,0.129,0.7070000000000001,30.6,16.7,8.9,1.5,67.1,0.129,0.4,15.1,0
873,Delonte West,0,0,2004,24,BOS,Saint Joseph's University,8,432,11842,4198,1265,1540,0.44799999999999995,0.37200000000000005,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.5,7.6,1
874,Tony Allen,0,0,2004,25,BOS,Oklahoma State University,12,727,15868,5908,2446,970,0.47700000000000004,0.28,0.718,21.8,8.1,3.4,1.3,35.5,0.107,1.2,12.6,1
875,Justin Reed,0,0,2004,40,BOS,University of Mississippi,3,136,1436,472,186,68,0.40399999999999997,0.0,0.752,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4,1
876,Gerald Green,0,0,2005,18,BOS,0,9,497,10086,4978,1240,498,0.42100000000000004,0.361,0.815,20.3,10.0,2.5,1.0,13.9,0.066,-2.3,-0.7,0
877,Ryan Gomes,0,0,2005,50,BOS,Providence College,8,487,13463,4926,2239,712,0.445,0.349,0.799,27.6,10.1,4.6,1.5,19.4,0.069,-1.3,2.3,1
878,Orien Greene,0,0,2005,53,BOS,University of Louisiana at Lafayette,4,131,1555,326,195,155,0.387,0.212,0.642,11.9,2.5,1.5,1.2,-0.7,-0.022000000000000002,-3.8,-0.7,1
879,Randy Foye,0,0,2006,7,BOS,Villanova University,10,683,17995,7372,1531,1977,0.402,0.369,0.851,26.3,10.8,2.2,2.9,23.3,0.062,-1.1,4.0,1
880,Jeff Green,0,0,2007,5,BOS,Georgetown University,8,636,20360,8890,3106,1054,0.43799999999999994,0.33899999999999997,0.7859999999999999,32.0,14.0,4.9,1.7,32.0,0.075,-1.0,4.9,1
881,Gabe Pruitt,0,0,2007,32,BOS,University of Southern California,2,62,461,125,51,52,0.321,0.28300000000000003,0.7829999999999999,7.4,2.0,0.8,0.8,0.4,0.043,-3.1,-0.1,1
882,J.R. Giddens,0,0,2008,30,BOS,University of New Mexico,2,38,247,73,54,13,0.47600000000000003,0.0,0.565,6.5,1.9,1.4,0.3,0.1,0.027000000000000003,-4.6,-0.2,1
883,Semih Erden,0,0,2008,60,BOS,0,2,69,928,262,190,29,0.546,0.0,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-2.0,0.0,0
884,Lester Hudson,0,0,2009,58,BOS,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.27699999999999997,0.8059999999999999,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1,1
885,Avery Bradley,0,0,2010,19,BOS,University of Texas at Austin,6,358,9784,4114,930,581,0.43799999999999994,0.36,0.7809999999999999,27.3,11.5,2.6,1.6,11.3,0.055999999999999994,-1.6,1.1,1
886,Luke Harangody,0,0,2010,52,BOS,University of Notre Dame,2,70,871,253,196,36,0.376,0.24100000000000002,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.3,-0.3,1
887,MarShon Brooks,0,0,2011,25,BOS,Providence College,3,164,2876,1261,358,232,0.442,0.326,0.748,17.5,7.7,2.2,1.4,2.5,0.040999999999999995,-2.5,-0.4,1
888,E'Twaun Moore,0,0,2011,55,BOS,Purdue University,5,307,5286,1789,515,484,0.42700000000000005,0.369,0.741,17.2,5.8,1.7,1.6,4.8,0.044000000000000004,-2.5,-0.7,1
889,Jared Sullinger,0,0,2012,21,BOS,Ohio State University,4,258,6414,2856,1979,474,0.439,0.276,0.727,24.9,11.1,7.7,1.8,15.4,0.115,0.6,4.3,1
890,Fab Melo,0,0,2012,22,BOS,Syracuse University,1,6,36,7,3,0,0.5,0.0,0.25,6.0,1.2,0.5,0.0,0.0,0.021,-5.8,0.0,1
891,Kris Joseph,0,0,2012,51,BOS,Syracuse University,1,10,54,9,7,1,0.14300000000000002,0.0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1,1
892,Lucas Nogueira,0,0,2013,16,BOS,0,2,35,248,71,57,8,0.5770000000000001,0.33299999999999996,0.526,7.1,2.0,1.6,0.2,0.7,0.133,1.4,0.2,0
893,Marcus Smart,0,0,2014,6,BOS,Oklahoma State University,2,128,3475,1081,477,393,0.35700000000000004,0.29600000000000004,0.72,27.1,8.4,3.7,3.1,5.8,0.08,0.9,2.6,1
894,James Young,0,0,2014,17,BOS,University of Kentucky,2,60,531,134,68,22,0.341,0.25,0.515,8.9,2.2,1.1,0.4,0.4,0.034,-4.1,-0.3,1
895,Marcus Thornton,0,0,2015,45,BOS,College of William & Mary,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
896,Terry Rozier,0,0,2015,16,BOS,University of Louisville,1,39,311,72,63,37,0.27399999999999997,0.222,0.8,8.0,1.8,1.6,0.9,-0.3,-0.047,-6.6,-0.4,1
897,R.J. Hunter,0,0,2015,28,BOS,Georgia State University,1,36,315,97,37,13,0.36700000000000005,0.302,0.857,8.8,2.7,1.0,0.4,0.3,0.045,-3.5,-0.1,1
898,Jordan Mickey,0,0,2015,33,BOS,Louisiana State University,1,16,57,21,13,1,0.364,0.0,0.5,3.6,1.3,0.8,0.1,0.1,0.068,-3.2,0.0,1
899,Shannon Brown,0,0,2006,25,CLE,Michigan State University,9,408,7329,3118,760,458,0.42,0.332,0.807,18.0,7.6,1.9,1.1,9.2,0.06,-2.3,-0.6,1
900,Daniel Gibson,0,0,2006,42,CLE,University of Texas at Austin,7,397,9316,3115,792,775,0.402,0.40700000000000003,0.78,23.5,7.8,2.0,2.0,16.0,0.08199999999999999,-1.0,2.3,1
901,Ejike Ugboaja,0,0,2006,55,CLE,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
902,J.J. Hickson,0,0,2008,19,CLE,North Carolina State University,8,534,11925,5081,3639,449,0.505,0.0,0.617,22.3,9.5,6.8,0.8,21.9,0.08800000000000001,-2.3,-0.9,1
903,Christian Eyenga,0,0,2009,30,CLE,0,2,51,1049,320,137,40,0.41100000000000003,0.27699999999999997,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.0,-0.5,0
904,Danny Green,0,0,2009,46,CLE,University of North Carolina,7,402,9955,3658,1379,637,0.428,0.40299999999999997,0.8190000000000001,24.8,9.1,3.4,1.6,27.0,0.13,3.5,13.7,1
905,John Jenkins,0,0,2012,23,ATL,Vanderbilt University,4,141,1837,727,212,115,0.449,0.363,0.846,13.0,5.2,1.5,0.8,2.7,0.07,-3.6,-0.7,1
906,Mike Scott,0,0,2012,43,ATL,University of Virginia,4,263,4127,1943,799,240,0.466,0.345,0.784,15.7,7.4,3.0,0.9,9.3,0.10800000000000001,-2.2,-0.3,1
907,Dennis Schroder,0,0,2013,17,ATL,0,3,206,3778,1830,428,759,0.419,0.324,0.795,18.3,8.9,2.1,3.7,3.9,0.05,-3.0,-0.9,0
908,Shane Larkin,0,0,2013,18,ATL,University of Miami,3,202,4105,1168,398,639,0.43,0.32799999999999996,0.762,20.3,5.8,2.0,3.2,3.0,0.035,-2.6,-0.6,1
909,Raul Neto,0,0,2013,47,ATL,0,1,81,1499,476,120,174,0.431,0.395,0.743,18.5,5.9,1.5,2.1,1.8,0.057999999999999996,-2.3,-0.1,0
910,James Ennis,0,0,2013,50,ATL,"California State University, Long Beach",2,84,1380,471,218,69,0.431,0.373,0.813,16.4,5.6,2.6,0.8,2.8,0.099,-0.6,0.5,1
911,Adreian Payne,0,0,2014,15,ATL,Michigan State University,2,84,1225,345,273,59,0.395,0.244,0.653,14.6,4.1,3.3,0.7,-1.0,-0.039,-6.0,-1.2,1
912,Walter Tavares,0,0,2014,43,ATL,0,1,11,73,25,21,3,0.579,0.0,0.375,6.6,2.3,1.9,0.3,0.2,0.106,-2.3,0.0,0
913,Aaron Brooks,0,0,2007,26,HOU,University of Oregon,8,548,12356,5862,993,1780,0.413,0.37,0.84,22.5,10.7,1.8,3.2,18.8,0.073,-1.5,1.5,1
914,Brad Newley,0,0,2007,54,HOU,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
915,Nicolas Batum,0,0,2008,25,HOU,0,8,551,17276,6436,2860,1849,0.442,0.36,0.836,31.4,11.7,5.2,3.4,42.4,0.11800000000000001,2.9,21.3,0
916,Maarty Leunen,0,0,2008,54,HOU,University of Oregon,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
917,Patrick Patterson,0,0,2010,14,HOU,University of Kentucky,6,412,9835,3301,1940,502,0.467,0.36700000000000005,0.7490000000000001,23.9,8.0,4.7,1.2,21.7,0.106,0.7,6.7,1
918,Marcus Morris,0,0,2011,14,HOU,University of Kansas,5,337,8351,3408,1401,487,0.431,0.363,0.6990000000000001,24.8,10.1,4.2,1.4,15.2,0.087,-0.3,3.5,1
919,Nikola Mirotic,0,0,2011,23,HOU,0,2,148,3300,1610,766,197,0.406,0.355,0.804,22.3,10.9,5.2,1.3,9.6,0.14,1.2,2.6,0
920,Chandler Parsons,0,0,2011,38,HOU,University of Florida,5,340,11330,4876,1721,1031,0.474,0.38,0.705,33.3,14.3,5.1,3.0,27.7,0.11800000000000001,2.4,12.5,1
921,Jeremy Lamb,0,0,2012,12,HOU,University of Connecticut,4,214,3545,1611,566,241,0.43200000000000005,0.336,0.805,16.6,7.5,2.6,1.1,7.8,0.106,-1.3,0.6,1
922,Royce White,0,0,2012,16,HOU,Iowa State University,1,3,9,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.121,-10.4,0.0,1
923,Terrence Jones,0,0,2012,18,HOU,University of Kentucky,4,178,4287,1845,1024,179,0.512,0.314,0.628,24.1,10.4,5.8,1.0,12.5,0.14,0.6,2.8,1
924,Isaiah Canaan,0,0,2013,34,HOU,Murray State University,3,146,3156,1379,285,257,0.368,0.363,0.818,21.6,9.4,2.0,1.8,3.0,0.046,-2.6,-0.5,1
925,Clint Capela,0,0,2014,25,HOU,0,2,89,1561,574,530,49,0.575,0.0,0.359,17.5,6.4,6.0,0.6,4.5,0.13699999999999998,0.0,0.8,0
926,Nick Johnson,0,0,2014,42,HOU,University of Arizona,1,28,262,74,39,11,0.34700000000000003,0.23800000000000002,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3,1
927,Sam Dekker,0,0,2015,18,HOU,University of Wisconsin,1,3,6,0,1,0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.11599999999999999,0.5,0.0,1
928,Montrezl Harrell,0,0,2015,32,HOU,University of Louisville,1,39,379,140,65,17,0.644,0.0,0.522,9.7,3.6,1.7,0.4,0.9,0.11800000000000001,-1.9,0.0,1
929,Jose Ortiz,0,0,1987,15,UTA,Oregon State University,2,64,391,183,73,18,0.44299999999999995,0.33299999999999996,0.596,6.1,2.9,1.1,0.3,0.0,0.002,-5.4,-0.3,1
930,Clarence Martin,0,0,1987,61,UTA,Western Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
931,Billy Donovan,0,0,1987,68,UTA,Providence College,1,44,364,105,25,87,0.40399999999999997,0.0,0.81,8.3,2.4,0.6,2.0,-0.1,-0.009000000000000001,-7.4,-0.5,1
932,Reuben Holmes,0,0,1987,84,UTA,Alabama State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
933,Bart Kofoed,0,0,1987,107,UTA,University of Nebraska at Kearney,5,111,702,162,56,108,0.387,0.188,0.614,6.3,1.5,0.5,1.0,0.0,0.002,-6.0,-0.7,1
934,Art Sabb,0,0,1987,130,UTA,Bloomfield College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
935,Keith Webster,0,0,1987,153,UTA,Harvard University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
936,Eric Leckner,0,0,1988,17,UTA,University of Wyoming,8,449,5448,1835,1418,211,0.508,0.0,0.669,12.1,4.1,3.2,0.5,6.2,0.054000000000000006,-4.9,-4.0,1
937,Jeff Moe,0,0,1988,42,UTA,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
938,Ricky Grace,0,0,1988,67,UTA,University of Oklahoma,1,3,8,4,1,1,0.667,0.0,0.0,2.7,1.3,0.3,0.3,0.0,0.10300000000000001,-4.4,0.0,1
939,Frederic Weis,0,0,1999,15,NYK,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
940,J.R. Koch,0,0,1999,46,NYK,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
941,Trent Tucker,0,0,1982,6,NYK,University of Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,20.7,8.2,2.0,2.0,34.3,0.105,0.3,9.0,1
942,Scott Hastings,0,0,1982,29,NYK,University of Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.8109999999999999,10.4,2.8,2.2,0.5,9.8,0.079,-2.1,-0.1,1
943,Vince Taylor,0,0,1982,34,NYK,Duke University,1,31,321,95,36,41,0.363,0.0,0.6559999999999999,10.4,3.1,1.2,1.3,0.1,0.009000000000000001,-2.5,0.0,1
944,Dan Caldwell,0,0,1982,52,NYK,University of Washington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
945,Craig Tucker,0,0,1982,57,NYK,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
946,Norm Anchrum,0,0,1982,75,NYK,University of Alabama at Birmingham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
947,Aaron Howard,0,0,1982,98,NYK,Villanova University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
948,Mike Kanieski,0,0,1982,121,NYK,University of Dayton,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
949,Phil Seymore,0,0,1982,144,NYK,Canisius College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
950,Dan Terwilliger,0,0,1982,167,NYK,Siena College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
951,Merle Scott,0,0,1982,190,NYK,South Carolina State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
952,John Leonard,0,0,1982,211,NYK,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
953,Charles Jones,0,0,1983,196,NYK,Marshall University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
954,Darrell Walker,0,0,1983,12,NYK,University of Arkansas,10,720,18601,6389,3134,3276,0.435,0.059000000000000004,0.713,25.8,8.9,4.4,4.6,27.4,0.071,1.0,14.2,1
955,Mark Jones,0,0,1983,82,NYK,St. Bonaventure University,1,6,16,7,2,5,0.5,0.0,0.5,2.7,1.2,0.3,0.8,0.0,0.07,-2.5,0.0,1
956,Troy Lee Mikell,0,0,1983,105,NYK,East Tennessee State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
957,Tony Simms,0,0,1983,128,NYK,Boston University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
958,Desi Barimore,0,0,1983,151,NYK,"California State University, Fresno",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
959,Mike Lang,0,0,1983,174,NYK,Pennsylvania State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
960,Bernard Randolph,0,0,1983,217,NYK,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
961,Curtis Green,0,0,1984,64,NYK,University of Southern Mississippi,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
962,Bob Thornton,0,0,1984,87,NYK,"University of California, Irvine",8,283,3386,844,712,99,0.444,0.222,0.5579999999999999,12.0,3.0,2.5,0.3,1.3,0.018000000000000002,-4.8,-2.4,1
963,Eddie Lee Wilkins,0,0,1984,133,NYK,Gardner-Webb University,6,322,3787,1534,1002,62,0.47,0.0,0.564,11.8,4.8,3.1,0.2,2.5,0.032,-6.8,-4.6,1
964,Ken Bannister,0,0,1984,156,NYK,Saint Augustine's College,5,253,3867,1501,893,111,0.488,0.0,0.49200000000000005,15.3,5.9,3.5,0.4,0.6,0.006999999999999999,-5.5,-3.4,1
965,Ricky Tunstall,0,0,1984,179,NYK,Youngstown State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
966,Marc Marotta,0,0,1984,201,NYK,Marquette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
967,Mike Henderson,0,0,1984,223,NYK,"Long Island University, C.W. Post Campus",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
968,Patrick Ewing,7,11,1985,1,NYK,Georgetown University,17,1183,40594,24815,11607,2215,0.504,0.152,0.74,34.3,21.0,9.8,1.9,126.4,0.15,2.0,40.9,1
969,Gerald Wilkins,0,0,1985,47,NYK,University of Tennessee at Chattanooga,13,900,26084,11736,2646,2697,0.45,0.316,0.745,29.0,13.0,2.9,3.0,33.9,0.062,-1.1,5.6,1
970,Fred Cofield,0,0,1985,73,NYK,Eastern Michigan University,2,50,496,169,51,86,0.395,0.188,0.6,9.9,3.4,1.0,1.7,-0.5,-0.044000000000000004,-5.9,-0.5,1
971,Mike Schlegel,0,0,1985,96,NYK,Virginia Commonwealth University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
972,Kent Lockhart,0,0,1985,119,NYK,University of Texas at El Paso,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
973,Ken Bantum,0,0,1985,142,NYK,Cornell University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
974,Dee Brown,0,0,1990,19,BOS,Jacksonville University,12,608,16843,6758,1569,2227,0.436,0.35700000000000004,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.6,11.0,1
975,Rick Fox,0,0,1991,24,BOS,University of North Carolina,13,930,23723,8966,3517,2649,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09,1.0,17.6,1
976,Jon Barry,0,0,1992,21,BOS,Georgia Institute of Technology,14,821,13880,4715,1513,1784,0.434,0.392,0.848,16.9,5.7,1.8,2.2,37.2,0.129,0.8,9.8,1
977,Darren Morningstar,0,0,1992,47,BOS,University of Pittsburgh,1,23,367,96,81,15,0.47600000000000003,0.0,0.6,16.0,4.2,3.5,0.7,0.4,0.048,-3.7,-0.2,1
978,Acie Earl,0,0,1993,19,BOS,University of Iowa,4,193,2512,980,517,61,0.40299999999999997,0.0,0.667,13.0,5.1,2.7,0.3,0.3,0.005,-6.9,-3.1,1
979,Alonzo Mourning,2,7,1992,2,NOH,Georgetown University,15,838,25975,14311,7137,946,0.527,0.247,0.6920000000000001,31.0,17.1,8.5,1.1,89.7,0.166,1.7,24.0,1
980,Tony Bennett,0,0,1992,35,NOH,University of Wisconsin-Green Bay,3,152,1886,538,155,303,0.41200000000000003,0.335,0.732,12.4,3.5,1.0,2.0,1.6,0.040999999999999995,-3.9,-0.9,1
981,Greg Graham,0,0,1993,17,NOH,Indiana University,5,207,2530,938,219,201,0.40700000000000003,0.29,0.775,12.2,4.5,1.1,1.0,1.3,0.025,-4.4,-1.6,1
