,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
136,Anthony Pelle,0,0,1995,44,DEN,"California State University, Fresno",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,Efthimi Rentzias,0,0,1996,23,DEN,0,1,35,144,52,26,7,0.33899999999999997,0.5,0.889,4.1,1.5,0.7,0.2,0.2,0.057999999999999996,-4.7,-0.1,0
138,Jeff McInnis,0,0,1996,37,DEN,University of North Carolina,11,576,15927,5396,1170,2514,0.431,0.32799999999999996,0.7959999999999999,27.7,9.4,2.0,4.4,23.1,0.07,-2.6,-2.5,1
139,Emeka Okafor,0,0,2004,2,CHA,University of Connecticut,9,590,18702,7256,5847,512,0.512,0.0,0.584,31.7,12.3,9.9,0.9,44.3,0.114,-0.4,7.5,1
140,Bernard Robinson,0,0,2004,45,CHA,University of Michigan,3,128,1909,576,315,126,0.41700000000000004,0.161,0.7859999999999999,14.9,4.5,2.5,1.0,2.0,0.049,-2.0,0.0,1
141,Raymond Felton,0,0,2005,5,CHA,University of North Carolina,11,776,25385,9608,2459,4650,0.41200000000000003,0.327,0.789,32.7,12.4,3.2,6.0,35.3,0.067,-0.4,10.0,1
142,Sean May,0,0,2005,13,CHA,University of North Carolina,4,119,1868,821,481,115,0.45799999999999996,0.231,0.746,15.7,6.9,4.0,1.0,2.6,0.068,-2.4,-0.2,1
143,Adam Morrison,0,0,2006,3,CHA,Gonzaga University,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.5,-2.9,1
144,Ryan Hollins,0,0,2006,50,CHA,"University of California, Los Angeles",10,518,6134,1913,1140,151,0.584,0.0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1.0,1
145,Jacky Dorsey,0,0,1976,26,UTA,University of Georgia,3,60,449,143,141,16,0.389,0.0,0.544,7.5,2.4,2.4,0.3,0.3,0.031,-6.2,-0.5,1
146,Steve Copp,0,0,1976,42,UTA,San Diego State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
147,John Service,0,0,1976,58,UTA,"University of California, Santa Barbara",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148,Paul Griffin,0,0,1976,74,UTA,Western Michigan University,7,480,10053,2443,2650,1116,0.505,0.0,0.6920000000000001,20.9,5.1,5.5,2.3,19.6,0.094,1.6,9.1,1
149,Barnard Tomlin,0,0,1976,94,UTA,Hofstra University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
